📺央视频道,#genre#
CCTV-1,http://171.117.245.185:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://110.178.52.91:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.52.91:8085/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://110.178.52.75:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://121.237.155.237:8800/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://222.141.132.159:888/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://119.98.124.146:4022/rtp/239.254.96.96:8550$1920x1080
CCTV-1,http://118.79.19.225:6001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://110.178.52.75:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://124.163.112.145:6001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://120.234.5.29:6000/udp/239.20.0.104:2006$1920x1080
CCTV-1,http://171.213.128.68:7000/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://119.129.238.239:10000/rtp/239.77.0.86:5146$1920x1080
CCTV-1,http://27.10.72.150:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://114.252.227.154:8000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140$1920x1080
CCTV-1,http://116.4.96.235:4080/udp/239.77.1.17:5146$1920x1080
CCTV-1,http://211.158.152.202:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://223.10.21.36:8082/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://120.42.233.146:1025/rtp/239.61.3.61:9884$1920x1080
CCTV-1,http://183.191.247.183:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://27.11.63.14:8002/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://223.10.21.36:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://171.119.205.174:6001/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://171.213.194.196:8888/rtp/239.93.0.184:5140$1920x1080
CCTV-1,http://61.190.129.195:8686/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://49.79.200.212:8181/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://61.190.129.195:8688/rtp/238.1.78.166:7200$1920x1080
CCTV-1,http://223.10.11.187:8083/rtp/239.1.1.7:8007$1920x1080
CCTV-1,http://27.11.49.234:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-2,http://ayolee.com:5253/rtp/239.93.1.23:6000$1920x1080
CCTV-2,http://123.112.213.221:4022/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://123.113.254.161:8012/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://s.cdhongyuan.cn:4022/udp/239.93.1.23:6000$1920x1080
CCTV-2,http://tnvcn.com:8012/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://14.21.143.206:8888/udp/239.77.0.137:5146$1920x1080
CCTV-2,http://123.113.149.45:3568/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://119.98.133.99:4022/rtp/239.69.1.102:10250$1920x1080
CCTV-2,http://enlen.vip:4022/rtp/239.200.200.104:8084$1920x1080
CCTV-2,http://171.120.7.130:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://121.24.98.226:8090/hls/10/index.m3u8
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8
CCTV-2,http://220.164.192.48:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-2,http://110.80.17.38:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV-2,http://110.189.102.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
